Subject,P(rate of change of Trust_Human==0|EventW_Machine== ), P(rate of change of Trust_Human>0|EventW_Machine== ), P(rate of change of Trust_Human<0|EventW_Machine== ), P(rate of change of Trust_Human==0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human>0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human<0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human==0|EventW_Machine==false alarm), P(rate of change of Trust_Human>0|EventW_Machine==false alarm), P(rate of change of Trust_Human<0|EventW_Machine==false alarm)
S10,0.780,0.101,0.119,0.575,0.320,0.105,0.576,0.031,0.393
S11,0.781,0.111,0.108,0.585,0.158,0.256,0.925,0.075,0.0
S12,0.778,0.100,0.122,0.611,0.279,0.110,1.000,0.0,0.0
S13,0.766,0.116,0.117,0.787,0.103,0.110,0.434,0.071,0.495
S14,0.772,0.117,0.111,0.675,0.095,0.230,0.840,0.053,0.107
S15,0.774,0.108,0.118,0.690,0.207,0.103,0.194,0.187,0.619
S16,0.768,0.109,0.122,0.729,0.178,0.093,0.664,0.270,0.066
S17,0.790,0.103,0.107,0.491,0.247,0.262,0.932,0.0,0.068
S21,0.779,0.099,0.122,0.590,0.340,0.070,0.659,0.030,0.312
S22,0.770,0.115,0.114,0.746,0.110,0.143,0.292,0.103,0.605
S23,0.787,0.100,0.113,0.570,0.270,0.160,0.500,0.106,0.395
S24,0.779,0.117,0.105,0.590,0.082,0.328,0.640,0.174,0.186
S25,0.780,0.097,0.123,0.575,0.331,0.093,1.000,0.0,0.0
S26,0.778,0.101,0.121,0.659,0.222,0.119,0.496,0.504,0.0
S27  ,0.785,0.110,0.105,0.531,0.207,0.262,0.297,0.0,0.703
S6,0.775,0.103,0.123,0.614,0.314,0.073,0.781,0.047,0.172
S7,0.768,0.111,0.122,0.713,0.178,0.109,0.956,0.044,0.0
S8,0.788,0.097,0.115,0.480,0.336,0.184,0.947,0.0,0.053
S9,0.782,0.113,0.106,0.556,0.160,0.284,0.500,0.0,0.500