Subject,P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|PupilChange_Human==0), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|PupilChange_Human>0), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|PupilChange_Human<0), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|EventW_Machine== ), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|EventW_Machine==false alarm), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|rate of change of Trust_Human==0), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|rate of change of Trust_Human>0), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|rate of change of Trust_Human<0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|EventW_Machine!=false alarm&&EventW_Machine!= ), P(PupilChange_Human==0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human==0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human>0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human<0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|EventW_Machine== ), P(PupilChange_Human==0|EventW_Machine== ), P(PupilChange_Human>0|EventW_Machine== ), P(PupilChange_Human<0|EventW_Machine== ), P(rate of change of Trust_Human==0|EventW_Machine== ), P(rate of change of Trust_Human>0|EventW_Machine== ), P(rate of change of Trust_Human<0|EventW_Machine== ), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|EventW_Machine==false alarm), P(PupilChange_Human==0|EventW_Machine==false alarm), P(rate of change of Trust_Human==0|EventW_Machine==false alarm), P(rate of change of Trust_Human>0|EventW_Machine==false alarm), P(rate of change of Trust_Human<0|EventW_Machine==false alarm), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|PupilChange_Human<0), P(EventW_Machine== |PupilChange_Human<0), P(EventW_Machine!=false alarm&&EventW_Machine!= |PupilChange_Human<0), P(EventW_Machine==false alarm|PupilChange_Human<0), P(rate of change of Trust_Human==0|PupilChange_Human<0), P(rate of change of Trust_Human>0|PupilChange_Human<0), P(rate of change of Trust_Human<0|PupilChange_Human<0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|PupilChange_Human==0), P(EventW_Machine== |PupilChange_Human==0), P(EventW_Machine!=false alarm&&EventW_Machine!= |PupilChange_Human==0), P(EventW_Machine==false alarm|PupilChange_Human==0), P(rate of change of Trust_Human==0|PupilChange_Human==0), P(rate of change of Trust_Human>0|PupilChange_Human==0), P(rate of change of Trust_Human<0|PupilChange_Human==0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|PupilChange_Human>0), P(EventW_Machine== |PupilChange_Human>0), P(EventW_Machine!=false alarm&&EventW_Machine!= |PupilChange_Human>0), P(EventW_Machine==false alarm|PupilChange_Human>0), P(rate of change of Trust_Human==0|PupilChange_Human>0), P(rate of change of Trust_Human>0|PupilChange_Human>0), P(rate of change of Trust_Human<0|PupilChange_Human>0), P(EventW_Machine== |rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(EventW_Machine==false alarm|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(PupilChange_Human==0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(PupilChange_Human>0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(PupilChange_Human<0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(rate of change of Trust_Human==0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(rate of change of Trust_Human>0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(rate of change of Trust_Human<0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(EventW_Machine== |rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(EventW_Machine==false alarm|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(PupilChange_Human==0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(PupilChange_Human>0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(PupilChange_Human<0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of Trust_Human==0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of Trust_Human>0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of Trust_Human<0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|rate of change of Trust_Human<0), P(EventW_Machine== |rate of change of Trust_Human<0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human<0), P(EventW_Machine==false alarm|rate of change of Trust_Human<0), P(PupilChange_Human==0|rate of change of Trust_Human<0), P(PupilChange_Human>0|rate of change of Trust_Human<0), P(PupilChange_Human<0|rate of change of Trust_Human<0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|rate of change of Trust_Human==0), P(EventW_Machine== |rate of change of Trust_Human==0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human==0), P(EventW_Machine==false alarm|rate of change of Trust_Human==0), P(PupilChange_Human==0|rate of change of Trust_Human==0), P(PupilChange_Human>0|rate of change of Trust_Human==0), P(PupilChange_Human<0|rate of change of Trust_Human==0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|rate of change of Trust_Human>0), P(EventW_Machine== |rate of change of Trust_Human>0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human>0), P(EventW_Machine==false alarm|rate of change of Trust_Human>0), P(PupilChange_Human==0|rate of change of Trust_Human>0), P(PupilChange_Human>0|rate of change of Trust_Human>0), P(PupilChange_Human<0|rate of change of Trust_Human>0), P(PupilChange_Human<0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(PupilChange_Human>0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(PupilChange_Human<0|EventW_Machine==false alarm), P(PupilChange_Human>0|EventW_Machine==false alarm)
S10,0.426,0.632,0.613,0.628,0.549,0.235,0.641,0.489,0.695,0.451,0.387,0.575,0.320,0.105,0.372,0.199,0.426,0.375,0.780,0.101,0.119,0.765,1.000,0.576,0.031,0.393,0.387,0.911,0.083,0.006,0.761,0.124,0.114,0.574,0.883,0.082,0.035,0.804,0.097,0.099,0.368,0.924,0.067,0.009,0.766,0.108,0.126,0.928,0.061,0.011,0.206,0.373,0.421,0.769,0.119,0.112,0.914,0.081,0.005,0.209,0.428,0.363,0.763,0.113,0.124,0.305,0.923,0.055,0.021,0.226,0.604,0.170,0.359,0.948,0.047,0.005,0.180,0.369,0.451,0.511,0.822,0.176,0.002,0.370,0.403,0.228,0.613,0.0,0.0,0.0
S11,0.395,0.635,0.610,0.629,0.534,0.249,0.611,0.656,0.680,0.466,0.182,0.585,0.158,0.256,0.371,0.210,0.402,0.388,0.781,0.111,0.108,0.751,0.253,0.925,0.075,0.0,0.390,0.923,0.070,0.007,0.760,0.112,0.127,0.605,0.889,0.080,0.032,0.724,0.114,0.161,0.365,0.913,0.079,0.008,0.767,0.119,0.114,0.916,0.072,0.013,0.178,0.430,0.392,0.751,0.120,0.129,0.921,0.075,0.004,0.227,0.394,0.379,0.772,0.112,0.115,0.320,0.823,0.177,0.0,0.123,0.454,0.424,0.389,0.929,0.063,0.008,0.205,0.412,0.383,0.344,0.882,0.114,0.004,0.546,0.170,0.283,0.314,0.504,0.747,0.0
S12,0.693,0.610,0.615,0.630,0.526,0.251,0.602,0.696,0.898,0.474,0.290,0.611,0.279,0.110,0.370,0.202,0.409,0.389,0.778,0.100,0.122,0.749,1.000,1.000,0.0,0.0,0.385,0.921,0.072,0.007,0.787,0.099,0.114,0.307,0.911,0.058,0.031,0.672,0.187,0.142,0.390,0.915,0.079,0.005,0.754,0.120,0.125,0.922,0.067,0.012,0.196,0.437,0.368,0.757,0.138,0.105,0.917,0.078,0.005,0.215,0.392,0.393,0.769,0.103,0.128,0.102,0.923,0.077,0.0,1.000,0.0,0.0,0.398,0.926,0.066,0.008,0.195,0.424,0.381,0.304,0.797,0.203,0.0,0.400,0.0,0.600,0.301,0.409,0.0,0.0
S13,0.609,0.613,0.632,0.630,0.503,0.412,0.639,0.473,0.477,0.497,0.163,0.787,0.103,0.110,0.370,0.211,0.416,0.372,0.766,0.116,0.117,0.588,1.000,0.434,0.071,0.495,0.368,0.915,0.076,0.009,0.774,0.115,0.111,0.391,0.876,0.106,0.018,0.751,0.111,0.139,0.387,0.915,0.078,0.007,0.760,0.113,0.126,0.916,0.072,0.012,0.251,0.333,0.416,0.708,0.130,0.162,0.920,0.075,0.004,0.191,0.438,0.371,0.797,0.107,0.096,0.523,0.896,0.067,0.038,0.089,0.455,0.455,0.361,0.920,0.075,0.005,0.223,0.408,0.369,0.527,0.929,0.065,0.006,0.247,0.301,0.452,0.502,0.335,0.0,0.0
S14,0.619,0.633,0.601,0.633,0.497,0.237,0.648,0.416,0.602,0.503,0.419,0.675,0.095,0.230,0.367,0.199,0.408,0.392,0.772,0.117,0.111,0.763,0.200,0.840,0.053,0.107,0.399,0.911,0.078,0.011,0.752,0.131,0.117,0.381,0.936,0.061,0.003,0.814,0.081,0.105,0.367,0.912,0.079,0.008,0.744,0.124,0.132,0.903,0.082,0.015,0.225,0.364,0.411,0.748,0.127,0.125,0.927,0.070,0.003,0.200,0.428,0.371,0.774,0.109,0.118,0.398,0.849,0.145,0.006,0.210,0.436,0.355,0.352,0.926,0.066,0.008,0.215,0.388,0.397,0.584,0.935,0.062,0.003,0.164,0.506,0.330,0.261,0.320,0.0,0.800
S15,0.462,0.624,0.619,0.633,0.486,0.195,0.639,0.536,0.608,0.514,0.278,0.690,0.207,0.103,0.367,0.205,0.408,0.388,0.774,0.108,0.118,0.805,0.167,0.194,0.187,0.619,0.381,0.920,0.073,0.007,0.771,0.115,0.114,0.538,0.874,0.071,0.055,0.718,0.114,0.168,0.376,0.916,0.077,0.007,0.759,0.116,0.125,0.914,0.076,0.010,0.170,0.395,0.435,0.739,0.112,0.149,0.921,0.073,0.006,0.227,0.414,0.358,0.775,0.116,0.109,0.392,0.906,0.061,0.033,0.237,0.372,0.391,0.361,0.933,0.065,0.002,0.196,0.408,0.395,0.464,0.861,0.129,0.010,0.252,0.440,0.308,0.249,0.474,0.833,0.0
S16,0.510,0.619,0.620,0.631,0.494,0.418,0.614,0.510,0.755,0.506,0.300,0.729,0.178,0.093,0.369,0.202,0.393,0.405,0.768,0.109,0.122,0.582,1.000,0.664,0.270,0.066,0.380,0.925,0.067,0.007,0.768,0.113,0.119,0.490,0.892,0.066,0.042,0.505,0.229,0.267,0.381,0.910,0.082,0.007,0.767,0.115,0.118,0.915,0.073,0.012,0.150,0.429,0.422,0.784,0.062,0.154,0.921,0.075,0.004,0.257,0.391,0.352,0.755,0.142,0.103,0.245,0.941,0.055,0.003,0.229,0.406,0.366,0.386,0.926,0.068,0.006,0.178,0.401,0.422,0.490,0.875,0.110,0.015,0.361,0.456,0.183,0.0,0.700,0.0,0.0
S17,0.500,0.631,0.611,0.628,0.552,0.215,0.620,0.643,0.583,0.448,0.325,0.491,0.247,0.262,0.372,0.200,0.412,0.387,0.790,0.103,0.107,0.785,1.000,0.932,0.0,0.068,0.389,0.928,0.066,0.006,0.773,0.112,0.115,0.500,0.891,0.084,0.025,0.812,0.080,0.108,0.369,0.908,0.082,0.009,0.752,0.121,0.128,0.922,0.068,0.009,0.207,0.393,0.399,0.820,0.093,0.088,0.917,0.077,0.006,0.208,0.416,0.376,0.736,0.127,0.137,0.417,0.819,0.178,0.004,0.141,0.433,0.426,0.380,0.940,0.052,0.008,0.211,0.400,0.389,0.357,0.825,0.175,0.0,0.291,0.454,0.255,0.335,0.340,0.0,0.0
S21,0.443,0.619,0.625,0.633,0.495,0.249,0.626,0.557,0.662,0.505,1.000,0.590,0.340,0.070,0.367,0.193,0.416,0.391,0.779,0.099,0.122,0.751,1.000,0.659,0.030,0.312,0.375,0.912,0.081,0.008,0.775,0.118,0.107,0.557,0.904,0.057,0.039,0.745,0.112,0.144,0.381,0.923,0.070,0.007,0.755,0.113,0.132,0.918,0.075,0.007,0.207,0.509,0.284,0.752,0.125,0.123,0.920,0.073,0.007,0.208,0.357,0.435,0.772,0.110,0.118,0.338,0.946,0.037,0.017,0.231,0.276,0.493,0.374,0.945,0.049,0.006,0.168,0.439,0.393,0.443,0.807,0.191,0.002,0.652,0.348,0.0,0.0,0.0,0.0,0.0
S22,0.490,0.628,0.613,0.628,0.540,0.292,0.650,0.419,0.589,0.460,0.325,0.746,0.110,0.143,0.372,0.201,0.410,0.389,0.770,0.115,0.114,0.708,1.000,0.292,0.103,0.605,0.387,0.917,0.076,0.007,0.766,0.115,0.118,0.510,0.891,0.067,0.042,0.520,0.137,0.343,0.372,0.918,0.074,0.008,0.768,0.115,0.117,0.890,0.100,0.010,0.139,0.502,0.359,0.662,0.150,0.188,0.930,0.064,0.006,0.255,0.344,0.401,0.805,0.101,0.093,0.411,0.871,0.089,0.040,0.604,0.0,0.396,0.350,0.924,0.073,0.003,0.199,0.424,0.377,0.581,0.922,0.071,0.007,0.164,0.410,0.426,0.296,0.379,0.0,0.0
S23,0.467,0.634,0.610,0.626,0.580,0.240,0.616,0.609,0.674,0.420,0.246,0.570,0.270,0.160,0.374,0.204,0.412,0.384,0.787,0.100,0.113,0.760,1.000,0.500,0.106,0.395,0.390,0.924,0.069,0.007,0.800,0.104,0.095,0.533,0.870,0.095,0.035,0.601,0.145,0.253,0.366,0.912,0.080,0.008,0.731,0.129,0.141,0.898,0.087,0.015,0.173,0.443,0.384,0.824,0.107,0.069,0.930,0.067,0.003,0.232,0.384,0.384,0.736,0.119,0.145,0.326,0.854,0.118,0.028,0.431,0.208,0.361,0.384,0.929,0.065,0.006,0.199,0.409,0.392,0.391,0.785,0.207,0.008,0.274,0.563,0.163,0.392,0.362,0.0,0.0
S24,0.387,0.617,0.641,0.631,0.506,0.333,0.621,0.634,0.597,0.494,1.000,0.590,0.082,0.328,0.369,0.195,0.415,0.391,0.779,0.117,0.105,0.667,1.000,0.640,0.174,0.186,0.359,0.925,0.067,0.008,0.775,0.111,0.114,0.613,0.916,0.068,0.016,0.874,0.069,0.057,0.383,0.910,0.083,0.007,0.744,0.124,0.133,0.919,0.065,0.017,0.157,0.384,0.459,0.785,0.114,0.100,0.919,0.079,0.002,0.248,0.427,0.324,0.755,0.115,0.130,0.403,0.803,0.187,0.010,0.431,0.0,0.569,0.379,0.942,0.053,0.005,0.214,0.367,0.418,0.366,0.941,0.049,0.010,0.128,0.624,0.249,0.0,0.0,0.0,0.0
S25,0.619,0.642,0.595,0.630,0.531,0.229,0.608,0.580,0.723,0.469,0.654,0.575,0.331,0.093,0.370,0.197,0.423,0.380,0.780,0.097,0.123,0.771,0.143,1.000,0.0,0.0,0.405,0.921,0.074,0.005,0.783,0.118,0.099,0.381,0.914,0.081,0.005,0.715,0.106,0.179,0.358,0.916,0.074,0.010,0.753,0.115,0.133,0.927,0.065,0.007,0.202,0.396,0.402,0.767,0.109,0.124,0.914,0.079,0.007,0.212,0.416,0.373,0.764,0.119,0.118,0.277,0.942,0.058,0.0,0.233,0.362,0.406,0.392,0.935,0.056,0.009,0.188,0.423,0.390,0.420,0.782,0.218,0.0,0.554,0.235,0.211,0.346,0.0,0.857,0.0
S26,0.473,0.632,0.610,0.630,0.529,0.207,0.622,0.520,0.612,0.471,0.488,0.659,0.222,0.119,0.370,0.197,0.405,0.398,0.778,0.101,0.121,0.793,1.000,0.496,0.504,0.0,0.390,0.928,0.065,0.007,0.768,0.117,0.115,0.527,0.826,0.131,0.043,0.556,0.205,0.239,0.368,0.910,0.082,0.008,0.757,0.115,0.127,0.926,0.067,0.007,0.233,0.367,0.400,0.639,0.157,0.204,0.915,0.078,0.007,0.195,0.429,0.376,0.861,0.083,0.056,0.388,0.917,0.083,0.0,0.413,0.0,0.587,0.378,0.922,0.071,0.006,0.201,0.415,0.384,0.480,0.797,0.161,0.042,1.000,0.0,0.0,0.0,0.512,0.0,0.0
S27,0.437,0.631,0.623,0.632,0.477,0.223,0.650,0.520,0.494,0.523,0.359,0.531,0.207,0.262,0.368,0.201,0.410,0.389,0.785,0.110,0.105,0.777,0.419,0.297,0.0,0.703,0.377,0.918,0.077,0.005,0.780,0.115,0.105,0.563,0.957,0.028,0.015,0.779,0.069,0.151,0.369,0.912,0.078,0.010,0.748,0.120,0.132,0.900,0.089,0.011,0.190,0.397,0.413,0.749,0.146,0.105,0.927,0.067,0.005,0.217,0.413,0.370,0.772,0.101,0.127,0.506,0.791,0.165,0.044,0.218,0.379,0.403,0.350,0.944,0.054,0.003,0.205,0.417,0.378,0.480,0.863,0.137,0.0,0.220,0.365,0.415,0.238,0.403,0.581,0.0
S6,0.315,0.627,0.618,0.625,0.586,0.255,0.628,0.577,0.641,0.414,1.000,0.614,0.314,0.073,0.375,0.194,0.415,0.391,0.775,0.103,0.123,0.745,1.000,0.781,0.047,0.172,0.382,0.921,0.072,0.007,0.770,0.113,0.117,0.685,0.833,0.122,0.045,0.639,0.208,0.153,0.373,0.916,0.076,0.008,0.763,0.114,0.123,0.912,0.071,0.017,0.215,0.358,0.427,0.805,0.106,0.089,0.923,0.076,0.002,0.205,0.433,0.362,0.743,0.120,0.137,0.359,0.952,0.037,0.010,0.218,0.289,0.492,0.372,0.943,0.050,0.007,0.196,0.453,0.350,0.423,0.829,0.168,0.003,0.234,0.377,0.389,0.0,0.0,0.0,0.0
S7,0.523,0.633,0.618,0.626,0.568,0.254,0.607,0.619,0.696,0.432,0.309,0.713,0.178,0.109,0.374,0.202,0.406,0.392,0.768,0.111,0.122,0.746,0.289,0.956,0.044,0.0,0.382,0.922,0.071,0.006,0.771,0.113,0.116,0.477,0.886,0.107,0.007,0.828,0.103,0.069,0.367,0.907,0.085,0.008,0.751,0.118,0.131,0.927,0.066,0.008,0.180,0.439,0.380,0.762,0.104,0.134,0.915,0.078,0.007,0.226,0.388,0.386,0.766,0.121,0.113,0.304,0.933,0.067,0.0,0.235,0.401,0.364,0.393,0.922,0.069,0.009,0.203,0.413,0.384,0.381,0.883,0.114,0.003,0.214,0.381,0.405,0.245,0.446,0.330,0.381
S8,0.400,0.632,0.613,0.627,0.560,0.275,0.612,0.541,0.765,0.440,0.393,0.480,0.336,0.184,0.373,0.199,0.408,0.392,0.788,0.097,0.115,0.725,0.200,0.947,0.0,0.053,0.387,0.919,0.074,0.008,0.783,0.112,0.105,0.600,0.921,0.031,0.048,0.779,0.090,0.131,0.368,0.916,0.078,0.007,0.744,0.120,0.136,0.927,0.065,0.008,0.180,0.428,0.392,0.791,0.122,0.087,0.914,0.079,0.006,0.228,0.393,0.378,0.750,0.111,0.139,0.235,0.885,0.112,0.003,0.324,0.462,0.214,0.388,0.946,0.046,0.009,0.197,0.404,0.399,0.459,0.785,0.215,0.0,0.210,0.404,0.386,0.205,0.403,0.403,0.397
S9,0.474,0.621,0.620,0.630,0.504,0.402,0.631,0.528,0.644,0.496,0.302,0.556,0.160,0.284,0.370,0.202,0.420,0.378,0.782,0.113,0.106,0.598,0.348,0.500,0.0,0.500,0.380,0.921,0.072,0.008,0.782,0.110,0.109,0.526,0.886,0.060,0.055,0.727,0.137,0.136,0.379,0.915,0.079,0.007,0.748,0.121,0.131,0.906,0.083,0.012,0.177,0.449,0.374,0.748,0.134,0.118,0.925,0.070,0.005,0.226,0.385,0.390,0.773,0.106,0.121,0.356,0.809,0.165,0.026,0.321,0.329,0.350,0.369,0.945,0.051,0.004,0.191,0.415,0.395,0.472,0.903,0.097,0.0,0.224,0.432,0.344,0.474,0.223,0.652,0.0