Subject,P(rate of change of Trust_Human==0|EventW_Machine== ), P(rate of change of Trust_Human>0|EventW_Machine== ), P(rate of change of Trust_Human<0|EventW_Machine== ), P(rate of change of Trust_Human==0|EventW_Machine==cyclist detected), P(rate of change of Trust_Human>0|EventW_Machine==cyclist detected), P(rate of change of Trust_Human<0|EventW_Machine==cyclist detected), P(rate of change of Trust_Human==0|EventW_Machine==false alarm), P(rate of change of Trust_Human>0|EventW_Machine==false alarm), P(rate of change of Trust_Human<0|EventW_Machine==false alarm), P(rate of change of Trust_Human==0|EventW_Machine==obstacle detected), P(rate of change of Trust_Human>0|EventW_Machine==obstacle detected), P(rate of change of Trust_Human<0|EventW_Machine==obstacle detected), P(rate of change of Trust_Human==0|EventW_Machine==pedestrian detected), P(rate of change of Trust_Human>0|EventW_Machine==pedestrian detected), P(rate of change of Trust_Human<0|EventW_Machine==pedestrian detected), P(rate of change of Trust_Human==0|EventW_Machine==truck detected), P(rate of change of Trust_Human>0|EventW_Machine==truck detected), P(rate of change of Trust_Human<0|EventW_Machine==truck detected), P(EventW_Machine== |rate of change of Trust_Human<0), P(EventW_Machine==obstacle detected|rate of change of Trust_Human<0), P(EventW_Machine==pedestrian detected|rate of change of Trust_Human<0), P(EventW_Machine==cyclist detected|rate of change of Trust_Human<0), P(EventW_Machine==false alarm|rate of change of Trust_Human<0), P(EventW_Machine==truck detected|rate of change of Trust_Human<0), P(EventW_Machine== |rate of change of Trust_Human==0), P(EventW_Machine==obstacle detected|rate of change of Trust_Human==0), P(EventW_Machine==pedestrian detected|rate of change of Trust_Human==0), P(EventW_Machine==cyclist detected|rate of change of Trust_Human==0), P(EventW_Machine==false alarm|rate of change of Trust_Human==0), P(EventW_Machine==truck detected|rate of change of Trust_Human==0), P(EventW_Machine== |rate of change of Trust_Human>0), P(EventW_Machine==obstacle detected|rate of change of Trust_Human>0), P(EventW_Machine==pedestrian detected|rate of change of Trust_Human>0), P(EventW_Machine==cyclist detected|rate of change of Trust_Human>0), P(EventW_Machine==false alarm|rate of change of Trust_Human>0), P(EventW_Machine==truck detected|rate of change of Trust_Human>0)
S10,0.780,0.101,0.119,0.598,0.192,0.210,0.576,0.031,0.393,0.441,0.501,0.058,0.627,0.322,0.050,0.555,0.241,0.205,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S11,0.781,0.111,0.108,0.721,0.097,0.182,0.925,0.075,0.0,0.613,0.074,0.313,0.485,0.257,0.258,0.755,0.0,0.245,1.000,0.000,0.000,0.000,0.0,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.0
S12,0.778,0.100,0.122,0.532,0.272,0.197,1.000,0.0,0.0,0.633,0.270,0.098,0.643,0.257,0.100,0.598,0.402,0.0,1.000,0.000,0.000,0.000,0.0,0.0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.0,0.000
S13,0.766,0.116,0.117,0.809,0.0,0.191,0.434,0.071,0.495,0.654,0.126,0.220,0.854,0.146,0.0,0.827,0.080,0.093,1.000,0.000,0.0,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.0,0.000,0.000
S14,0.772,0.117,0.111,0.664,0.076,0.259,0.840,0.053,0.107,0.596,0.089,0.316,0.722,0.127,0.151,0.654,0.0,0.346,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.0
S15,0.774,0.108,0.118,0.471,0.298,0.231,0.194,0.187,0.619,0.757,0.118,0.125,0.722,0.241,0.036,0.771,0.155,0.075,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S16,0.768,0.109,0.122,0.788,0.115,0.098,0.664,0.270,0.066,0.571,0.287,0.142,0.761,0.178,0.061,0.760,0.115,0.126,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S17,0.790,0.103,0.107,0.407,0.241,0.352,0.932,0.0,0.068,0.493,0.275,0.232,0.488,0.236,0.277,0.650,0.254,0.095,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.0,0.000
S21,0.779,0.099,0.122,0.466,0.399,0.135,0.659,0.030,0.312,0.596,0.325,0.078,0.627,0.338,0.036,0.620,0.282,0.098,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S22,0.770,0.115,0.114,0.728,0.086,0.186,0.292,0.103,0.605,0.681,0.101,0.218,0.767,0.138,0.094,0.831,0.054,0.115,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S23,0.787,0.100,0.113,0.337,0.253,0.410,0.500,0.106,0.395,0.813,0.187,0.0,0.549,0.342,0.110,0.877,0.123,0.0,1.000,0.0,0.000,0.000,0.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S24,0.779,0.117,0.105,0.533,0.017,0.450,0.640,0.174,0.186,0.546,0.171,0.283,0.611,0.032,0.357,0.697,0.208,0.096,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S25,0.780,0.097,0.123,0.546,0.174,0.280,1.000,0.0,0.0,0.568,0.357,0.074,0.554,0.402,0.044,0.743,0.216,0.041,1.000,0.000,0.000,0.000,0.0,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.0,0.000
S26,0.778,0.101,0.121,0.694,0.0,0.306,0.496,0.504,0.0,0.739,0.261,0.0,0.642,0.358,0.0,0.548,0.0,0.452,1.000,0.0,0.0,0.000,0.0,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.0,0.000,0.0
S27,0.785,0.110,0.105,0.586,0.109,0.306,0.297,0.0,0.703,0.462,0.389,0.149,0.494,0.161,0.345,0.720,0.167,0.114,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.0,0.000
S6,0.775,0.103,0.123,0.588,0.359,0.053,0.781,0.047,0.172,0.581,0.287,0.132,0.609,0.346,0.044,0.724,0.196,0.080,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S7,0.768,0.111,0.122,0.643,0.142,0.215,0.956,0.044,0.0,0.703,0.214,0.083,0.712,0.210,0.078,0.854,0.071,0.075,1.000,0.000,0.000,0.000,0.0,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
S8,0.788,0.097,0.115,0.405,0.092,0.503,0.947,0.0,0.053,0.576,0.354,0.070,0.455,0.447,0.098,0.548,0.319,0.132,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.0,0.000
S9,0.782,0.113,0.106,0.468,0.140,0.392,0.500,0.0,0.500,0.599,0.145,0.257,0.530,0.202,0.268,0.708,0.080,0.212,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.0,0.000